RegionName,Average Stringency Index,Average Stringency Legacy Index,Average Government Response,Average Containment Health Risk,Average Economic Support Index
Alaska,40.97288990825694,49.336651376146705,44.24504587155963,43.530825688073406,48.1651376146789
Arkansas,36.33215596330263,42.35559633027526,35.97174311926609,38.969220183486264,19.26605504587156
Colorado,41.36793577981655,45.09362385321095,39.55055045871563,39.496467889908274,39.85091743119266
Connecticut,42.490045871559616,48.21665137614689,43.641788990825724,44.528440366972475,38.76146788990825
Delaware,48.011422018348625,52.95458715596318,47.49463302752284,48.29077981651375,43.11926605504587
Florida,44.31091743119267,46.6548165137615,39.88614678899079,41.92490825688068,28.6697247706422
Illinois,39.58518348623851,40.69174311926615,39.354770642201835,40.652018348623876,32.22477064220183
Kansas,40.57749999999996,46.22882075471697,33.915283018867854,38.4524999999999,8.962264150943396
Kentucky,40.32100917431208,43.217614678899125,41.44623853211014,42.81137614678908,33.944954128440365
Louisiana,36.086284403669715,44.00050458715582,37.26151376146795,35.09174311926608,49.19724770642202
Massachusetts,34.735412844036695,45.03577981651376,36.637935779816516,37.79527522935779,30.275229357798164
Missouri,24.927557603686633,28.28741935483878,22.616082949308783,26.728709677419378,0.0
North Dakota,24.372431192660574,36.13481651376142,23.844954128440307,26.189724770642275,10.95183486238532
Oregon,36.90577981651384,39.106146788990884,34.999678899082525,35.54610091743126,31.6588785046729
Tennessee,34.078027522935834,36.413990825688074,33.03784403669711,36.37527522935796,14.678899082568808
Texas,39.122981651376186,41.60077981651376,35.358348623853296,38.86977064220183,16.05504587155963
Utah,27.419128440366975,31.201513761467954,27.06284403669724,31.0649082568807,5.045871559633028
Virginia,39.827568807339574,42.79779816513769,37.170596330275174,39.53018348623856,24.19724770642202
Wisconsin,32.09944954128447,34.626743119266045,31.120412844036696,33.73706422018354,16.743119266055047
