Date,"Alberta, Canada","British Columbia, Canada","Ontario, Canada","Saskatchewan, Canada"
1/1/2019,0,0,0,0
2/1/2019,0,0,0,0
3/1/2019,14457925,0,0,5058385
4/1/2019,15849502,0,0,6045560
5/1/2019,17450339,0,0,7015160
6/1/2019,18407451,0,0,6171316
7/1/2019,21326073,0,0,6280152
8/1/2019,24849761,12034545,28408232,6818724
9/1/2019,25768128,12084313,26433910,7080758
10/1/2019,28305396,12932632,27506434,7326069
11/1/2019,29832554,19019989,26602959,7431157
12/1/2019,32317896,17764985,28445257,7611352
1/1/2020,33282630,19780456,31028466,9407595
2/1/2020,33400751,21007705,33572049,7990755
3/1/2020,40291657,23695213,36988933,8804975
4/1/2020,42274890,23841254,20385798,9801774
5/1/2020,46315681,27423366,27114433,10676820
6/1/2020,46696916,29343271,34858166,11108807
7/1/2020,51768781,34651742,46253187,12734061
8/1/2020,52565965,36545700,57811874,12594832
9/1/2020,53624219,36902835,61602047,13466044
10/1/2020,56333468,37937042,66354885,13765608
11/1/2020,53307333,36852139,68883529,13216743
12/1/2020,56165847,0,0,0
