week #,weekending,Switch,PS4,Xbox 1,month,Switch,PS4,Xbox 1
26,29-Jun,104728,46050,28320,July,331226,196706,106425
27,6-Jul,86648,44940,25825,August,384991,272081,133817
28,13-Jul,83028,48312,25050,September,533048,247519,138941
29,20-Jul,83659,52802,28154,October,177938,264060,138274
30,27-Jul,77891,50652,27396,November,1765392,1221499,1011929
31,3-Aug,76425,53426,25925,December,2084530,808123,759234
32,10-Aug,70734,55264,25474,,,,
33,17-Aug,74147,53619,25110,,,,
34,24-Aug,75948,55225,28397,,,,
35,31-Aug,87737,54547,28911,,,,
36,7-Sep,96727,59212,32644,,,,
37,14-Sep,91246,64144,42684,,,,
38,21-Sep,196364,62363,33139,,,,
39,28-Sep,148711,61800,30474,,,,
40,5-Oct,99382,58928,29464,,,,
41,12-Oct,104695,63776,35638,,,,
42,19-Oct,102518,67101,33870,,,,
43,26-Oct,109413,74255,39302,,,,
44,2-Nov,119744,72938,43273,,,,
45,9-Nov,131017,86412,50809,,,,
46,16-Nov,257358,107612,67177,,,,
47,23-Nov,234657,126236,95039,,,,
48,30-Nov,1022616,828301,755631,,,,
49,7-Dec,525186,235153,218400,,,,
50,14-Dec,567518,218751,198824,,,,
51,21-Dec,623271,227663,218268,,,,
52,28-Dec,368555,126556,123742,,,,
